,RandomForest,XGBoost,Lasso,Avg_Importance
1007,0.40926084976061583,0.3509647,0.0,0.253408514991947
1047,0.19216625067901602,0.1706568,0.39705655917934624,0.25329320337614764
1117,0.3625349583202542,0.21404348,0.18280413842714277,0.2531275266284938
1020,0.2945947750337547,0.15720652,0.3043917638392832,0.25206435310374403
149,0.3126006423918454,0.44266728,0.0,0.2517559726863453
438,0.16994536178407632,0.17474759,0.4097917275920171,0.2514948918754662
839,0.19705364641970785,0.13783263,0.41240255728050246,0.24909627680020385
741,0.16012426330865076,0.14039378,0.4458469982840584,0.24878834675815473
894,0.19546724673745638,0.17825289,0.3699604814516937,0.24789353963173746
424,0.25250748675237883,0.1899831,0.29958259559272415,0.2473577273480411
632,0.14168196965781993,0.11722174,0.47986911770568375,0.24625761007730906
1132,0.39904744458377067,0.3323594,0.0,0.24380228265186052
1046,0.21203644080067652,0.17875186,0.33355658866337234,0.24144829518422906
318,0.15404307899852065,0.12635015,0.44266121970100797,0.24101814940393984
325,0.3689616880480659,0.3450682,0.0,0.23800995818986537
431,0.29607214207246124,0.27821338,0.13570301894324793,0.2366628475943274
1062,0.4367278302773307,0.15442418,0.11759082842085103,0.23624761143942027
911,0.13789682448808643,0.15975527,0.41090433837258306,0.2361854791713681
1144,0.16900642332135077,0.24475682,0.29465938198338015,0.23614087437413964
908,0.19346755262211035,0.514504,0.0,0.2359905226892732
601,0.2682545990550694,0.43417838,0.0,0.23414432707111624
452,0.11627448594908812,0.13475071,0.44715408699859566,0.2327264272951096
496,0.24691808270425072,0.18194038,0.26751635855152034,0.2321249393381155
1080,0.36874697775757526,0.32556322,0.0,0.23143673330915046
494,0.36505176855965016,0.32896888,0.0,0.23134021704012672
876,0.1564884732453953,0.15075885,0.3823557908062256,0.22986770388196068
885,0.21502140743072773,0.1735494,0.2970996570672003,0.22855682109259903
381,0.2293265052762917,0.12540452,0.3297984432164043,0.22817649010520846
489,0.232066119061963,0.13845608,0.30526844389764074,0.2252635464477315
1015,0.203612294162828,0.4710917,0.0,0.22490132728070625
387,0.3034055667445405,0.1807514,0.19035768527203975,0.2248382167407791
280,0.2791080354931173,0.39505866,0.0,0.22472223239747077
624,0.18117773813160482,0.1585456,0.33106408495809897,0.22359580715914065
