,channel,feature_type,channel_feature_name,RF_Importance,XGB_Importance,Lasso_Coefficient
67,7,delta_power,Channel_7_delta_power,0.0007339983578218418,0.0006583959,0.0
68,7,theta_power,Channel_7_theta_power,0.0008981182336203073,0.00055385695,0.0009734018085487535
69,7,alpha_power,Channel_7_alpha_power,0.0007883334386708725,0.0009295114,0.0
70,7,beta_power,Channel_7_beta_power,0.0009265043045676064,0.00087263575,0.0
71,7,gamma_power,Channel_7_gamma_power,0.0009589030098553929,0.0006178175,0.0035984749001186124
72,8,mean,Channel_8_mean,0.0009701097330262099,0.00081778446,0.0
73,8,std,Channel_8_std,0.0005922988459479334,0.000802644,0.0
74,8,skewness,Channel_8_skewness,0.0008885719832992826,0.00065839454,0.0
75,8,kurtosis,Channel_8_kurtosis,0.0008759522192011606,0.0007298007,0.0
76,8,delta_power,Channel_8_delta_power,0.0005235158371233457,0.00052293786,0.0
77,8,theta_power,Channel_8_theta_power,0.000742829111386237,0.0009308792,0.0
78,8,alpha_power,Channel_8_alpha_power,0.0006974486033627486,0.0010240384,0.0
79,8,beta_power,Channel_8_beta_power,0.0008821876504867054,0.0009125986,0.0
80,8,gamma_power,Channel_8_gamma_power,0.0010410739728064086,0.00072807854,0.0
81,9,mean,Channel_9_mean,0.0009037155181361324,0.0008211202,0.0
82,9,std,Channel_9_std,0.000673180703473779,0.0012016518,0.0
83,9,skewness,Channel_9_skewness,0.00088360161073323,0.0006223231,0.0015953897422493304
84,9,kurtosis,Channel_9_kurtosis,0.0007596908348556443,0.0007732638,0.0
85,9,delta_power,Channel_9_delta_power,0.0005453943730993587,0.0005953546,0.0
86,9,theta_power,Channel_9_theta_power,0.0005276211615520127,0.0010440617,0.0
87,9,alpha_power,Channel_9_alpha_power,0.0004999480365625535,0.00059814815,0.0
88,9,beta_power,Channel_9_beta_power,0.0007571057112250877,0.0008710944,0.0
89,9,gamma_power,Channel_9_gamma_power,0.0007362832835853513,0.001078044,0.0
90,10,mean,Channel_10_mean,0.00064564879148935,0.00072268944,0.0
91,10,std,Channel_10_std,0.0005590582764687351,0.0005986674,0.0
92,10,skewness,Channel_10_skewness,0.0009566257893043908,0.00058973394,0.0
93,10,kurtosis,Channel_10_kurtosis,0.0007653020158477211,0.00041968908,0.0064108184096020185
94,10,delta_power,Channel_10_delta_power,0.0006944932300628022,0.0010569032,0.0
95,10,theta_power,Channel_10_theta_power,0.0006356939964868668,0.0003786171,0.0
96,10,alpha_power,Channel_10_alpha_power,0.0006381123909812362,0.00077836966,0.0
97,10,beta_power,Channel_10_beta_power,0.0008203377244713756,0.0010623705,0.0
98,10,gamma_power,Channel_10_gamma_power,0.0009501466441971646,0.0014239352,0.0
99,11,mean,Channel_11_mean,0.0007507386792278175,0.00070849294,0.0
100,11,std,Channel_11_std,0.0006995873684740578,0.00092751335,0.0
101,11,skewness,Channel_11_skewness,0.0007622754015111614,0.00084058614,0.0
102,11,kurtosis,Channel_11_kurtosis,0.000803861496953246,0.00062124385,0.0
103,11,delta_power,Channel_11_delta_power,0.0006131010201210233,0.00081514206,0.0
104,11,theta_power,Channel_11_theta_power,0.0006157254040546277,0.00052519375,0.0
105,11,alpha_power,Channel_11_alpha_power,0.0007224131514200904,0.00067352876,0.0
106,11,beta_power,Channel_11_beta_power,0.0008786782384039697,0.0007019401,0.0
107,11,gamma_power,Channel_11_gamma_power,0.0008907250953267512,0.0011424766,0.0
108,12,mean,Channel_12_mean,0.0007251186703082264,0.0008347785,0.0
109,12,std,Channel_12_std,0.0008436414395084281,0.0005688041,0.0
110,12,skewness,Channel_12_skewness,0.0010931190410072688,0.0007739758,0.0
111,12,kurtosis,Channel_12_kurtosis,0.0011993082486089091,0.00061574765,0.0
112,12,delta_power,Channel_12_delta_power,0.0007831816710260486,0.0008092803,0.0
113,12,theta_power,Channel_12_theta_power,0.0006175553110116497,0.0008497556,0.0
